City_ID,name,country,max_temp,current_description,lat,lng,Hotel Name
1285,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1286,victoria,sc,77.0,few clouds,22.2855,114.1577,Mini Hotel Central
1301,luanda,ao,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
1319,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1320,golfito,cr,76.57,broken clouds,8.639,-83.166,Banana Bay Marina
1336,victoria,sc,77.0,few clouds,22.2855,114.1577,Mini Hotel Central
1343,penapolis,br,77.0,clear sky,-21.4197,-50.0775,Bigs Hotel
1355,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1358,porto novo,cv,79.18,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
1368,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1370,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
1375,mucurapo,tt,78.8,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
1376,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1406,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
1442,hilo,us,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
1454,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1466,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
1472,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
1477,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1478,bathsheba,bb,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
1480,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
1495,puerto ayora,ec,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
1505,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1522,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1523,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1527,wahiawa,us,77.0,few clouds,21.5028,-158.0236,Aloha Wahiawa
1529,kahului,us,75.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
1530,takoradi,gh,79.21,broken clouds,4.8845,-1.7554,Raybow International Hotel
1532,marawi,sd,78.01,light rain,7.9986,124.2928,Derogongan Residence
1535,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1540,tura,ru,75.09,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
1542,manaure,co,77.02,overcast clouds,11.7751,-72.4445,Hotel Palaaima
1543,atuona,pf,79.52,few clouds,-9.8,-139.0333,Villa Enata
1546,vao,nc,78.64,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
1561,lima,pe,75.99,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
1563,itarema,br,77.43,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1568,garissa,ke,75.58,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
1573,hobyo,so,77.45,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
1575,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1577,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1585,olinda,br,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
1588,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
1590,victoria,sc,77.0,few clouds,22.2855,114.1577,Mini Hotel Central
1597,vaini,to,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
1602,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1605,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
1613,kralendijk,an,78.8,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
1616,villa rosario,pa,78.8,few clouds,8.7833,-79.8667,Edgar Herrera (G)ato
1629,ponnani,in,75.2,haze,10.767,75.9252,Rouba Residency
1644,rikitea,pf,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
